Loan purpose ,ID,Length of time as a client ,Length of loan ,Type of business / Industry ,Years in business ,Start-up business ,Cash-on-hand ,Total assets ,Debt/equity ratio ,Risk
Inventory,319,9,9,Hospitality,20,No,5260397.18,33752584.86,57,30.82788369
Working Capital,320,8,6,Hospitality,6,No,6162112.499,21404013.06,62,59.28565467
Employee/Payroll,321,7,1,Retail,6,Yes,3968150.328,30945608.97,65,78.51965559
Operation Expansion,322,1,2,Financial Services,9,No,7828773.679,31441910.36,62,51.60531105
Inventory,323,12,5,Healthcare,7,No,3704692.913,15608586.66,62,67.12294268
Real Estate,324,4,2,Manufacturing,3,No,393675.3302,31139046,29,83.16235115
Working Capital,325,6,10,High-Tech,9,Yes,4411790.768,23446064.88,52,69.46587647
Working Capital,326,2,8,Hospitality,14,Yes,5262269.897,25356664.14,20,56.36450681
Working Capital,327,20,5,High-Tech,1,Yes,601273.414,19040386.43,15,89.40481416
Working Capital,328,20,6,Manufacturing,2,Yes,4427449.472,26877105.16,33,78.2404019
Real Estate,329,3,1,Hospitality,3,Yes,7489568.998,22934099.37,50,76.80097193
Operation Expansion,330,2,10,High-Tech,5,Yes,5724165.515,46174336.98,24,60.73960997
Inventory,331,10,4,Hospitality,15,Yes,4956772.975,27429504.65,31,56.15386988
Operation Expansion,332,19,6,Financial Services,18,Yes,6365478.381,18793242.91,57,50.2889664
New Equipment,333,12,8,Hospitality,15,Yes,7017206.421,29629491.97,45,48.57204053
Real Estate,334,12,10,Manufacturing,10,No,6019479.163,36244576.77,19,41.74827408
Real Estate,335,10,3,Hospitality,19,No,3072971.662,32450561.09,36,43.90239133
Employee/Payroll,336,10,2,Retail,3,No,4836044.193,11856599.27,46,73.61710623
Working Capital,337,7,10,Hospitality,20,Yes,6475709.087,12212538.92,32,47.37960853
Employee/Payroll,338,1,10,Healthcare,8,Yes,5924937.951,29064620.87,26,62.37766224
Working Capital,339,1,2,High-Tech,6,Yes,6302032.501,24844411.25,63,75.34824803
Operation Expansion,340,11,8,High-Tech,17,Yes,1752305.119,22545884.68,23,61.52777281
Employee/Payroll,341,14,7,High-Tech,17,No,4535700.053,19975820.09,48,42.91232592
Working Capital,342,18,9,Financial Services,16,Yes,4565508.211,37758606,20,46.37365453
Working Capital,343,4,10,High-Tech,6,No,4110357.136,30551692.28,53,60.75494487
Inventory,344,11,7,Retail,6,Yes,7014652.632,24530470.13,44,65.7273284
Working Capital,345,8,2,High-Tech,14,Yes,4534037.407,32728942.76,48,61.84317959
Working Capital,346,5,10,Financial Services,6,No,6453908.625,14102958.23,55,61.28352196
Operation Expansion,347,14,7,Manufacturing,3,Yes,6132647.093,29768520.58,65,72.64733152
New Equipment,348,6,8,Manufacturing,3,Yes,5398337.244,28568697.16,56,78.54132492
New Equipment,349,5,8,Retail,13,Yes,5106376.839,24745044.54,30,62.22982457
New Equipment,350,20,4,Healthcare,6,Yes,5812783.176,40993928.94,47,63.63148339
New Equipment,351,5,10,Healthcare,5,Yes,6234212.506,32016766.79,18,64.19648106
Operation Expansion,352,16,3,High-Tech,9,Yes,4369447.597,11383001.85,29,73.70579545
Inventory,353,11,6,Retail,19,Yes,5174833.004,7107363.391,30,56.85149269
Real Estate,354,20,6,High-Tech,8,No,3712878.108,15978682.03,37,61.71153027
Employee/Payroll,355,19,10,Financial Services,9,No,2598785.37,29192237.4,32,54.81808236
Operation Expansion,356,16,6,Retail,8,No,4417390.386,24363224.5,45,57.9791878
Inventory,357,5,7,Retail,1,Yes,7196212.53,30438759.31,29,71.42409311
Operation Expansion,358,19,7,Retail,14,No,5213410.397,33307011.24,35,39.67718373
Employee/Payroll,359,7,4,Manufacturing,11,Yes,4680183.32,27262385.92,27,65.96784024
Inventory,360,4,5,Healthcare,8,Yes,4049645.605,27688421.64,64,74.53339303
Real Estate,361,1,7,Manufacturing,10,No,7108830.19,20077903.07,63,54.92831995
New Equipment,362,19,3,Financial Services,19,Yes,3428515.244,29354389.88,49,56.82121419
Working Capital,363,6,3,Financial Services,9,No,6295254.224,46840175.58,31,46.43432554
Operation Expansion,364,12,9,Financial Services,11,Yes,7136078.513,34575875.65,58,53.10348346
Inventory,365,12,8,Hospitality,16,No,6346659.241,23934981.53,38,36.54171734
Inventory,366,8,4,Manufacturing,4,Yes,5275844.211,18154723.58,57,81.67446748
Inventory,367,20,10,Hospitality,13,No,7188547.243,23355845.49,44,35.4630945
Employee/Payroll,368,6,4,Retail,12,No,3350932.434,15422326.62,46,62.14616373
New Equipment,369,18,10,Retail,18,No,6765169.815,31294955.48,31,28.41505835
Operation Expansion,370,1,10,Financial Services,4,Yes,7061056.295,24674006.28,40,70.67968494
Real Estate,371,20,5,Retail,18,No,4654809.353,27501012.87,21,37.02626831
Real Estate,372,20,7,Hospitality,8,Yes,5737136.693,20843856.4,56,65.64942113
Employee/Payroll,373,17,1,Manufacturing,10,Yes,4916507.103,29086509.52,15,61.35116593
Employee/Payroll,374,15,6,Financial Services,2,No,4008990.037,31434608.39,36,65.31325673
Working Capital,375,4,8,Hospitality,17,Yes,4860701.458,35096712.31,39,51.09160843
Real Estate,376,14,2,Hospitality,20,Yes,3113110.258,18459264.06,49,60.44089593
Employee/Payroll,377,16,4,Hospitality,6,Yes,4721609.679,39107548.75,52,65.91572751
Inventory,378,12,1,Healthcare,7,No,4207933.392,33680649.51,18,56.21915355
Operation Expansion,379,20,1,Retail,4,No,6128357.146,21789448,53,62.67481018
New Equipment,380,16,6,Financial Services,5,Yes,2663381.862,31361922.82,31,78.65651845
Inventory,381,1,4,Financial Services,13,No,4498162.996,36864896.73,19,47.12305983
Real Estate,382,20,7,Financial Services,14,Yes,4296480.919,17762222.49,21,60.07007813
New Equipment,383,17,10,Retail,6,No,5145726.857,22316479.71,19,54.51772394
Employee/Payroll,384,4,8,Hospitality,7,Yes,2922853.439,17401817.84,27,77.74890243
Real Estate,385,17,4,Healthcare,11,No,6227759.554,28463574.21,57,47.85377595
New Equipment,386,1,6,High-Tech,2,Yes,4890864.763,31186517.65,30,79.86031463
Employee/Payroll,387,16,10,Hospitality,13,No,4364760.331,34567321.54,32,39.58519263
Inventory,388,5,6,Healthcare,7,No,5881909.033,21812035.48,19,54.9560166
Employee/Payroll,389,4,5,Healthcare,19,No,5279293.861,26170429.05,49,39.98266012
New Equipment,390,16,5,Healthcare,18,No,4473842.509,26069815.93,28,40.90872089
Working Capital,391,11,7,Healthcare,17,No,3035481.814,29123818.29,38,46.2180402
New Equipment,392,7,1,Manufacturing,3,No,4134920.064,17361717.24,37,78.07609909
Working Capital,393,13,3,Manufacturing,2,Yes,6565046.852,35980514.4,20,69.79229782
Real Estate,394,8,7,Manufacturing,9,Yes,4918608.753,22717994.34,42,71.49378868
New Equipment,395,11,1,Hospitality,14,No,2977136.798,27113736.14,50,56.96846995
Employee/Payroll,396,10,7,High-Tech,18,Yes,5395141.734,21186217.79,55,52.06420016
Real Estate,397,2,1,Healthcare,19,Yes,11794848.22,23580355.24,20,34.69547808
New Equipment,398,18,6,Healthcare,18,No,3248305.056,25089626.43,56,45.97466687
Inventory,399,18,9,Retail,14,Yes,6424978.768,13277213.57,44,55.4901345
Real Estate,400,13,7,Financial Services,13,Yes,5101455.825,31701506.01,63,59.61707599
Employee/Payroll,401,15,7,Retail,17,Yes,5046758.525,16002869.86,51,56.07521018
Working Capital,402,5,3,High-Tech,16,Yes,3648187.436,9028191.623,45,71.0978185
Working Capital,403,19,5,Manufacturing,16,Yes,7795917.192,20380594.6,42,49.31684216
New Equipment,404,11,4,Financial Services,5,No,5012058.035,17130112.43,30,67.54852936
Inventory,405,7,7,Financial Services,18,No,3997892.513,30483970.42,43,42.68353695
Inventory,406,13,2,Healthcare,1,Yes,5266375.169,26806137.76,41,80.51716807
Working Capital,407,2,3,Manufacturing,9,No,3623137.6,13215763.37,25,69.31630873
Real Estate,408,3,2,Manufacturing,3,Yes,3824070.4,26027930.96,50,88.86191317
Employee/Payroll,409,6,10,Hospitality,5,Yes,6871233.852,16871874.06,31,67.34742398
New Equipment,410,10,4,Retail,16,No,5468693.121,30563669.24,35,43.20063707
Operation Expansion,411,12,8,Retail,12,Yes,4596524.525,29824128.55,31,59.77423572
Real Estate,412,5,1,High-Tech,12,No,7617743.739,30038108.29,24,43.77881565
Inventory,413,12,8,Healthcare,6,Yes,3884734.536,39331595.67,50,68.40228325
New Equipment,414,19,10,Retail,15,Yes,7099473.301,21960691.96,59,49.8880995
Working Capital,415,1,10,Retail,3,No,6943665.601,27712249.49,48,59.59454833
Inventory,416,9,2,High-Tech,7,Yes,5130223.363,40729785.58,46,66.68199326
Real Estate,417,4,2,High-Tech,11,No,5176920.993,20580486.58,56,59.41706712
Operation Expansion,418,11,3,Manufacturing,11,Yes,3631848.01,14024694.08,45,76.78368742
Real Estate,419,8,2,High-Tech,5,Yes,2259017.356,27159568.03,21,83.14895401
Employee/Payroll,420,13,5,High-Tech,9,No,6398348.773,29709847.42,35,46.87859493
Operation Expansion,421,11,7,Hospitality,14,No,5101378.343,17764667.15,23,45.64592044
Operation Expansion,422,16,5,Retail,16,No,7187071.074,10244984.99,23,40.10937905
Working Capital,423,8,3,Hospitality,6,Yes,5047768.892,15708409.4,27,76.98877242
Working Capital,424,5,8,Healthcare,3,Yes,6732227.004,28192516.39,16,66.97676806
Real Estate,425,19,6,High-Tech,1,No,3533469.297,15995968.04,26,72.5928664
Employee/Payroll,426,11,4,Financial Services,7,Yes,6149096.618,28092507.27,30,66.16372075
Operation Expansion,427,17,9,High-Tech,11,Yes,3912957.648,19274562.82,25,63.58951202
Real Estate,428,10,4,Healthcare,6,Yes,4410489.279,24149984.21,22,74.70740339
Real Estate,429,2,5,Retail,8,Yes,4926079.924,23051372.16,31,74.27745866
Real Estate,430,9,9,Financial Services,4,Yes,5948011.181,27417770.36,61,73.18017336
Real Estate,431,15,8,Healthcare,14,No,5171600.513,27835842.12,42,43.70549208
Working Capital,432,2,2,Retail,12,Yes,6909149.562,11351280.65,47,69.16371802
New Equipment,433,3,2,Healthcare,14,No,2900584.309,29765948.72,29,57.29341562
Operation Expansion,434,14,5,Retail,18,Yes,8428289.09,20949334.66,34,43.31555466
Employee/Payroll,435,1,10,Retail,18,Yes,3955714.388,30429964.76,65,55.04056195
Real Estate,436,16,5,High-Tech,11,Yes,6084948.258,33726692.48,37,56.52572325
Employee/Payroll,437,9,3,Healthcare,19,Yes,2489057.055,19817552.63,28,61.58664786
Real Estate,438,1,6,Manufacturing,13,Yes,3060892.292,26011710.07,28,71.03067119
Operation Expansion,439,12,7,High-Tech,4,No,4517552.412,17478531.37,54,67.02428377
Inventory,440,6,1,Hospitality,3,No,3739357.979,17185098.9,64,76.64355094
Inventory,441,20,4,High-Tech,4,Yes,6592179.631,13029030.87,28,71.54485447
Employee/Payroll,442,5,10,Financial Services,4,Yes,3993197.323,32765199.57,48,75.26678731
Employee/Payroll,443,18,2,Hospitality,16,Yes,5579521.46,25777019.21,60,53.39466259
Working Capital,444,1,2,High-Tech,19,No,4874567.854,20141328.68,28,45.87546502
New Equipment,445,20,2,Manufacturing,20,Yes,5554527.057,24068493.81,65,52.10929497
Employee/Payroll,446,15,3,Financial Services,14,Yes,5767344.937,28804844.43,33,55.45108
Operation Expansion,447,11,3,Manufacturing,3,Yes,5455266.647,21807918.94,24,78.55619196
Inventory,448,4,9,Hospitality,20,Yes,5895847.128,16759518.7,26,47.16711866
Operation Expansion,449,20,4,Healthcare,14,No,5858552.555,32183410.19,49,40.32536643
Working Capital,450,16,9,Healthcare,13,Yes,4360833.171,25593292.21,16,54.97550163
Inventory,451,9,4,Hospitality,18,Yes,4596254.196,29410684.33,34,52.27802417
Employee/Payroll,452,3,1,Financial Services,17,Yes,4791196.661,32507427.75,15,53.04051512
Operation Expansion,453,9,8,Financial Services,3,Yes,7541203.69,23780292.71,53,70.66698165
New Equipment,454,2,10,Healthcare,19,Yes,5564919.906,19723128.69,41,53.2557922
New Equipment,455,14,1,Financial Services,4,Yes,1942134.001,17266403.11,46,93.60545089
New Equipment,456,13,1,Healthcare,17,No,2454224.701,18579060.94,21,54.2057638
Inventory,457,5,6,High-Tech,19,No,6373049.252,32089051.36,19,29.25412363
Inventory,458,13,3,High-Tech,17,Yes,2942494.498,10017907.65,40,67.36884029
Employee/Payroll,459,14,5,Hospitality,1,Yes,5028280.827,23182454.09,61,79.83071264
New Equipment,460,13,7,Hospitality,13,No,5147608.245,26484824.9,35,46.22188769
Employee/Payroll,461,1,10,Manufacturing,1,No,7104375.661,24216949.1,35,62.32874252
New Equipment,462,14,9,Hospitality,13,No,5830811.473,20940960.73,21,42.32658332
New Equipment,463,11,5,High-Tech,15,Yes,6469079.068,24581110.27,62,55.95166273
New Equipment,464,19,6,Hospitality,15,No,8438111.563,27353827.01,19,28.10823608
Working Capital,465,7,10,Financial Services,6,Yes,3777371.397,30276615.59,17,69.96024418
Operation Expansion,466,8,4,High-Tech,5,Yes,5790827.298,17725071.36,52,76.91818226
Inventory,467,15,1,Healthcare,19,Yes,4146518.983,35801554.43,16,46.59158274
Real Estate,468,2,6,Healthcare,7,No,2766700.398,26141268,63,69.88554378
Inventory,469,5,1,High-Tech,10,Yes,6292484.624,26522545.05,17,61.42398552
Real Estate,470,19,1,Hospitality,15,Yes,6821814.162,21366625.75,32,53.47921932
Real Estate,471,10,5,Hospitality,1,No,3589830.218,18783791.25,33,75.38659038
Employee/Payroll,472,4,9,Healthcare,9,No,6318800.647,25185878.73,49,50.6182998
Operation Expansion,473,2,10,Hospitality,6,No,4657167.166,26762976.57,17,55.41950946
Inventory,474,1,9,Retail,6,No,4478569.81,21163851.73,57,65.21875202
Inventory,475,14,3,Retail,19,Yes,8879871.155,26409866.45,32,38.71585261
Working Capital,476,2,3,Manufacturing,19,Yes,4163329.785,24731779.16,49,61.41309265
New Equipment,477,4,2,Financial Services,9,No,5615833.554,22431811.79,53,62.39157469
New Equipment,478,5,10,Healthcare,1,Yes,2647578.116,9843646.164,62,95.70475348
Employee/Payroll,479,3,3,Financial Services,16,No,5030699.773,33724165.22,21,41.99001219
New Equipment,480,7,3,Hospitality,15,Yes,4016753.26,27026305.91,33,63.14676764
New Equipment,481,3,1,Financial Services,20,No,4185171.734,25126127.66,44,48.47060986
New Equipment,482,8,6,Hospitality,14,No,7227390.273,40387503.5,40,35.16684192
Inventory,483,8,10,Hospitality,12,Yes,6875734.317,21134519.1,38,54.79085796
Real Estate,484,17,8,High-Tech,5,Yes,6062143.408,27410617.42,46,67.15901735
Operation Expansion,485,5,1,Manufacturing,13,No,3724623.391,36229520.67,44,55.16110364
Employee/Payroll,486,6,7,Hospitality,18,No,5997787.341,23494946.31,49,37.42068483
Operation Expansion,487,9,2,High-Tech,20,Yes,5971801.86,27311121.77,32,47.6902374
Working Capital,488,11,3,Healthcare,8,Yes,6077612.832,26435620.06,37,67.37396841
Inventory,489,14,2,High-Tech,11,No,7123927.704,19909453.98,64,49.10096536
New Equipment,490,6,1,Healthcare,9,Yes,5870191.21,23643551.04,54,72.54200038
Inventory,491,2,8,Healthcare,15,Yes,5595015.498,21210464.88,21,55.65832475
Working Capital,492,14,5,Manufacturing,1,Yes,4366392.959,42448598.74,15,72.00974248
Employee/Payroll,493,4,9,Healthcare,11,No,4715308.328,7477991.179,38,58.87055941
Operation Expansion,494,11,5,Manufacturing,10,Yes,4916139.919,23154828.88,56,69.8255089
New Equipment,495,17,3,Healthcare,14,Yes,3366098.634,20552999.65,24,65.80903394
New Equipment,496,15,6,Hospitality,11,No,4925535.562,18601959.2,16,49.31293855
Real Estate,497,4,3,Hospitality,11,No,2132520.311,30415264.06,44,63.24412162
New Equipment,498,1,4,High-Tech,12,Yes,5445503.346,20649826.94,23,66.28150548
Working Capital,499,16,5,Healthcare,8,No,6586771.684,13400619.24,24,53.93907441
New Equipment,500,18,5,Financial Services,5,Yes,6211575.538,18646118.09,43,73.76489091
Employee/Payroll,501,17,1,High-Tech,2,No,5383688.525,22290559.97,54,67.10548662
Employee/Payroll,502,15,10,Hospitality,2,Yes,6074429.775,27523620.35,36,68.03034415
Working Capital,503,14,5,High-Tech,10,No,6574514.316,22299292.57,50,49.88929488
Employee/Payroll,504,20,7,Manufacturing,9,No,8480664.378,18838711.77,30,42.48588301
Inventory,505,13,8,High-Tech,1,Yes,5864890.904,17747786.13,28,76.32772585
Real Estate,506,2,1,Manufacturing,18,No,5450842.296,32074597.6,39,44.90036517
Operation Expansion,507,14,10,Manufacturing,8,No,1395664.101,26902259.93,34,64.48345975
Operation Expansion,508,12,2,Hospitality,12,Yes,5088879.221,7327392.297,26,69.22273647
New Equipment,509,15,5,Retail,10,Yes,5438258.417,23283190.99,56,67.32516616
Inventory,510,2,4,Financial Services,3,Yes,7171776.236,34456734.11,56,72.15346467
Operation Expansion,511,17,7,Healthcare,5,No,4420270.619,22878670.29,45,61.94142406
Real Estate,512,18,2,Hospitality,13,No,3797770.938,20035158.12,48,55.322829
Inventory,513,7,7,Healthcare,5,Yes,3775367.537,29897312.4,56,76.76089301
Inventory,514,14,6,Healthcare,12,Yes,4781047.273,19250118.79,33,63.44506304
Employee/Payroll,515,19,6,Hospitality,1,No,6719578.303,18339264.21,23,58.54793615
Employee/Payroll,516,18,9,Manufacturing,16,Yes,5255516.528,19024296.01,63,54.91070088
New Equipment,517,12,2,Retail,10,No,6078830.219,28101959.42,33,52.54285291
Working Capital,518,9,10,Financial Services,19,No,4975528.722,14928416.84,43,42.56153367
Employee/Payroll,519,17,7,High-Tech,20,No,5096973.519,23431740.42,25,31.58890846
Real Estate,520,4,7,High-Tech,3,Yes,5220684.359,6150538.522,53,86.92192876
Inventory,521,12,1,High-Tech,13,Yes,4035463.932,25922741.54,53,66.42716312
Operation Expansion,522,16,7,Retail,8,No,2992803.098,24073360.35,37,61.31275309
Working Capital,523,6,7,Manufacturing,7,Yes,3033954.701,26288112.6,40,79.23920014
Real Estate,524,13,9,Hospitality,9,Yes,6162976.991,17634099.61,23,61.80200193
Working Capital,525,8,4,Retail,14,No,4540472.377,30658952.04,46,49.81673849
Working Capital,526,19,1,Retail,3,Yes,5723807.924,34825490.44,37,72.48148352
Employee/Payroll,527,18,7,Manufacturing,1,No,4885797.152,31930936.63,21,60.42291898
Working Capital,528,2,1,Hospitality,4,No,5345413.055,28228214.13,23,64.42912043
Operation Expansion,529,8,5,High-Tech,10,No,3269634.595,27658478.12,58,59.90292864
Working Capital,530,4,6,Healthcare,1,Yes,3171667.151,19017273.29,41,91.42847507
Working Capital,531,2,9,Retail,20,No,5553142.671,24662257.75,22,34.97222335
Real Estate,532,1,3,Hospitality,2,Yes,4133279,24656679.18,54,87.74177508
Working Capital,533,4,6,Healthcare,3,Yes,6292823.269,17820535.05,44,79.04559452
Inventory,534,12,9,Financial Services,5,No,1615180.492,27766794.25,20,66.1871782
Inventory,535,19,7,Healthcare,8,Yes,6734954.574,31900319.42,63,58.10379427
Employee/Payroll,536,11,2,Financial Services,14,Yes,4170206.266,36987060.56,46,60.17924446
Operation Expansion,537,19,7,Financial Services,11,Yes,7672340.203,22868536.79,53,55.05848084
Employee/Payroll,538,4,10,Healthcare,10,No,5595739.903,35984070.6,57,46.55389345
Real Estate,539,8,1,Healthcare,14,No,9758966.971,27671017.2,37,36.03380785
Real Estate,540,5,4,Healthcare,13,No,5795207.133,26099798,53,50.66209121
Real Estate,541,12,6,Manufacturing,7,Yes,5597600.421,23564150.81,17,67.43528305
Working Capital,542,10,6,Manufacturing,5,Yes,2440252.737,17231857.45,56,88.27019541
Operation Expansion,543,14,5,Financial Services,12,Yes,4718828.461,22299689.86,57,66.1107314
Operation Expansion,544,10,3,Retail,11,Yes,3252532.665,28200768.53,34,70.7078211
Operation Expansion,545,20,2,Retail,11,Yes,7601719.225,21894341.23,18,53.86883847
Inventory,546,12,7,Healthcare,6,No,4820730.249,28274432.21,19,54.34094003
Operation Expansion,547,16,8,High-Tech,15,Yes,4656339.526,15088324.89,44,59.53699778
Working Capital,548,10,4,Retail,17,Yes,7883295.836,14616462.13,33,51.59222657
Operation Expansion,549,13,7,Healthcare,10,No,6468982.044,29137054.57,19,42.47561764
New Equipment,550,7,6,Financial Services,11,No,4977204.284,14509503.49,47,60.34814403
New Equipment,551,7,5,Hospitality,13,Yes,3975403.688,27344504.41,37,65.42042793
Working Capital,552,16,9,Retail,20,No,4253021.878,22547339.71,36,37.4963578
Operation Expansion,553,17,1,Hospitality,6,No,5785668.786,36152080.73,40,53.44127637
Working Capital,554,10,2,Retail,14,Yes,6254802.222,22397188.71,19,57.12290662
